book_id,book_title,chapter_num,segment_id,source,reference,hypothesis,bleu,chrf++,comet,mqm_score,error_category,error_type,severity,error_description
1,العناصر: مقدمة قصيرة جدًّا,2,1,It is often said that Antoine Laurent Lavoisier did for chemistry what Isaac Newton did for physics and Charles Darwin for biology. He transformed it from a collection of disparate facts into a science with unified principles.,كثيرًا ما يقال إن أنطوان لوران لافوازييه قدَّم للكيمياء مثلما قدَّم إسحاق نيوتن للفيزياء وتشارلز داروين لعلم الأحياء؛ فقد حولها من مجموعة من الحقائق المنفصلة إلى علم ذي مبادئ موحَّدة.,كثيرًا ما يُقال إن أنطوان لوران لافوازييه قد فعل بالكيمياء ما فعله إسحاق نيوتن بالفيزياء وتشارلز داروين بالأحياء. فقد حوَّلها من مجموعة من الحقائق المتناثرة إلى علم ذي مبادئ موحَّدة.,26.6,65.76,0.9024,100,لا يوجد (None),ترجمة صحيحة وسليمة (Accurate & Fluent),منعدم (None),ترجمة دقيقة وسلسة ومكافئة دلالياً للترجمة البشرية الاحترافية
1,العناصر: مقدمة قصيرة جدًّا,2,2,"But timing is crucial. Newton’s work in the seventeenth century signals the beginning of the Enlightenment, the confidence in rationalism as a way both to understand the universe and to improve the human condition. Darwin’s theories began to take hold as the solid certainties of nineteenth-century science and culture gave way before the giddy perspectives of modernism; all the old rules of art, music, and literature were changing at the same time.","ولكن التوقيت حاسم؛ فأعمال نيوتن في القرن السابع عشر تُمثِّل بداية عصر التنوير؛ الثقة في المنهج العقلي باعتباره وسيلةً لفهم الكون وتحسين وضع البشر. وبدأت نظريات داروين في الهيمنة باعتبارها حقائقَ ثابتة للعلم في القرن التاسع عشر، واستسلمت الثقافة أمام منظور الحداثة الأهوج. وكانت كل القواعد القديمة للفن والموسيقى والأدب تتغيَّر في ذات الوقت.","لكن التوقيت بالغ الأهمية. تُؤذِن أعمال نيوتن في القرن السابع عشر ببداية عصر التنوير، وبالثقة في المنهج العقلي سبيلًا لفهم الكون وتحسين أحوال البشر في آنٍ واحد. بدأت نظريات داروين تترسَّخ بينما راحت اليقينيات الراسخة لعلم القرن التاسع عشر وثقافته تتهاوى أمام الآفاق المُدوِّخة للحداثة؛ فقد كانت كل القواعد القديمة في الفن والموسيقى والأدب تتغير في الوقت نفسه.",14.02,54.17,0.8578,100,لا يوجد (None),ترجمة صحيحة وسليمة (Accurate & Fluent),منعدم (None),ترجمة دقيقة وسلسة ومكافئة دلالياً للترجمة البشرية الاحترافية
1,العناصر: مقدمة قصيرة جدًّا,2,3,"And Lavoisier? His was the fate of the Enlightenment’s brave new world: slaughtered during Robespierre’s Reign of Terror. The liberal optimism of philosophers and thinkers like Voltaire, Montesquieu, and Condorcet foundered before the fickle passions and arbitrary brutality of the French Revolutionaries. Reason was overthrown, and, in the decades that followed, chemistry became the supremely Romantic science.","ماذا عن لافوازييه؟ كان مصيرُه مصيرَ تنوير العالِم الجديد الشجاع؛ إذ إنه ذُبح خلال عهد الإرهاب تحت حكم روبسبير. وقد تعثَّر التفاؤل الليبرالي للفلاسفة والمفكِّرين، مثل فولتير ومونتسكيو وكوندورسيه، أمام الأهواء المتقلِّبة والوحشية التعسفية للثوار الفرنسيين. وأُطيح بالمنطق، وأصبحت الكيمياء في العقود التي تلت ذلك علمًا يغلب عليه الطابع الرومانتيكي بدرجة كبيرة.","وماذا عن لافوازييه؟ لقد كان مصيره مصير «العالم الجديد الجسور» الذي بشَّر به التنوير: ذُبِح إبّان عهد الإرهاب تحت حكم روبسبير. تحطَّم التفاؤل الليبرالي لفلاسفة ومفكرين أمثال فولتير ومونتسكيو وكوندورسيه أمام الأهواء المتقلبة والوحشية العشوائية لثوار فرنسا. أُطيح بالعقل، وفي العقود التي تلت، غدت الكيمياء العلمَ الرومانتيكيَّ بامتياز.",13.4,51.3,0.8193,97.92,السلاسة (Fluency),قواعد ونحو وتركيب (Grammar / Syntax),طفيف (Minor),خلل تركيبي في مطابقة الضمائر أو أدوات الربط في السياق العربي
1,العناصر: مقدمة قصيرة جدًّا,2,4,"Lavoisier (1743–94), like Condorcet, was misfortunate that the leading thinkers in France were likely, sooner or later, to become embroiled in politics. Whereas in England science was still the pursuit of ‘gentlemen’ with money and leisure to spare, France had its state-approved Academy of Sciences whose members commonly filled public offices and became highly visible figures in political life (Fig. 2). Lavoisier was a tax collector before he became a famous scientist, and that was largely what sealed his fate. But his chemical expertise also secured him the prominent position of director on Louis XVI’s Gunpowder Administration, and as treasurer and effective secretary of the Academy of Sciences he vigorously opposed its dissolution by the anti-elitist Jacobin administration in 1793. Lavoisier was a sitting target for the Revolutionary witch-hunters, who were determined to purge the nation of anyone whose loyalty to the Republic they found reason to doubt. That is why, in 1794, Lavoisier was forced to bow his head to the blade that had just removed his father-in-law’s.","كان لافوازييه محصِّلًا للضرائب قبل أن يصبح عالِمًا مشهورًا، وكان ذلك — إلى حدٍّ كبير — ما حدَّد مصيره، لكنَّ خبرته الكيميائية أمَّنت أيضًا له مكانة بارزة في منصب مدير إدارة البارود لدى لويس السادس عشر. وعندما كان أمينًا لصندوق أكاديمية العلوم والسكرتير التنفيذي لها، عارَض بقوةٍ حلَّها مِن قِبل إدارة اليعاقبة المناهضة للنخبوية في عام م. كان لافوازييه هدفًا سهلًا للثوريين الذين كانوا يطارِدون مَن يخالفهم الرأي، والذين صمَّموا على تطهير الأمة من أي شخص يجدون مبرِّرًا للتشكيك في وَلائه للجمهورية. وهذا هو السبب في أنْ أُطيحَ برأس لافوازييه عام م عقب الإطاحة برأس والد زوجته مباشرةً.","كان لافوازييه (–)، شأنه شأن كوندورسيه، ضحيةَ سوء طالعٍ جعل كبار المفكرين في فرنسا عُرضةً، عاجلًا أو آجلًا، للتورط في السياسة. فبينما ظل العلم في إنجلترا هوايةً يمارسها «السادة النبلاء» ممن يملكون فائضًا من المال ووقت الفراغ، كان لفرنسا أكاديميتها للعلوم المعتمدة من الدولة، التي دأب أعضاؤها على تولِّي المناصب العامة وصاروا شخصيات بالغة البروز في الحياة السياسية (شكل ). كان لافوازييه جابيًا للضرائب قبل أن يصير عالمًا شهيرًا، وذلك إلى حد بعيد ما ختم مصيره. غير أن خبرته الكيميائية أكسبته أيضًا منصبًا رفيعًا مديرًا لإدارة البارود في عهد لويس السادس عشر، وبوصفه أمينًا للخزانة وسكرتيرًا فعليًّا لأكاديمية العلوم، عارض بشدة حلَّها على يد الإدارة اليعقوبية المناهضة للنخبوية عام . كان لافوازييه هدفًا سهلًا لمطارِدي السَّحَرة الثوريين، الذين عقدوا العزم على تطهير الأمة من كل من وجدوا ما يدعو للشك في ولائه للجمهورية. لذلك، في عام ، أُرغم لافوازييه على أن يحني رأسه للنصل الذي كان قد أطاح لتوِّه برأس حَميه.",6.39,40.64,0.8113,99.34,المصطلحات (Terminology),مصطلح غير دقيق (Inappropriate Term),طفيف (Minor),استخدام مصطلحات عامة أو معجمية تفتقر للاتساق الدقيق مع المصطلح العلمي/الفكري المعتمد
1,العناصر: مقدمة قصيرة جدًّا,2,5,"Two centuries later, the debate still rages about whether Lavoisier was or was not the true discoverer of one of chemistry’s most important elements: oxygen. It has become the subject of a play written by two of the world’s leading chemists, the Nobel laureate Roald Hoffmann and the co-inventor of the contraceptive pill, Carl Djerassi. In Oxygen, the Nobel Committee of 2001 has decided to award ‘retro-Nobel’ prizes for great discoveries made before the prize was inaugurated in 1901. They decide that the first chemistry prize must go to oxygen’s discoverer, because, says one of the characters, ‘the Chemical Revolution came from oxygen’. Lavoisier gave the element its name, but he was certainly not the first to make it, nor to recognize it as a distinct and important substance. The Nobel Committee argues furiously over the leading three candidates, while a fictional encounter between them in 1777 reveals new insights into their own struggles to secure priority.","وبعد ذلك بقرنَيْن من الزمن، ظلَّ الجدل محتدِمًا حول كَوْن لافوازييه فعليًّا المكتشِف الحقيقي لواحد من العناصر الأكثر أهميةً في الكيمياء؛ وهو الأكسجين. وأصبح موضوعَ مسرحيةٍ كَتَبَها اثنان من الكيميائيين الروَّاد في العالم؛ وهما: رولد هوفمان الحائز على جائزة نوبل، وكارل جيراسي المشارِك في اختراع حبوب منع الحمل. في مسرحية «أُكسجين»، قرَّرت لجنة نوبل في عام م منح جوائز «نوبل بأثر رجعي» على الاكتشافات الكبيرة التي حدثت قبل تأسيس الجائزة في عام م، وقرَّرت أن جائزة نوبل للكيمياء الأولى يجب أن تُمنح لمكتشِف الأكسجين؛ لأن «الثورة الكيميائية نتجت من الأكسجين» على حد قول إحدى شخصيات المسرحية. أطلق لافوازييه على العنصر اسمه، لكنه لم يكن بالتأكيد أوَّل مَن صنعه، ولا مَن عرف أنه مادة متميِّزة ومهمَّة. واحتدم الجدل داخل لجنة نوبل حول المرشحين الثلاثة الروَّاد، وعُرِض في المسرحية لقاءٌ افتراضي بين المرشحين الثلاثة في عام م كَشَفَ عن رؤًى جديدة تتعلَّق بنزاعهم من أجل إثبات كلٍّ منهم الأولويةَ لنفسه.","وبعد قرنين، لا يزال الجدل محتدمًا حول ما إذا كان لافوازييه هو المكتشف الحقيقي لأحد أهم عناصر الكيمياء أم لم يكن: إنه الأكسجين. وقد غدا موضوعًا لمسرحية كتبها اثنان من كبار كيميائيي العالم، هما الحائز على جائزة نوبل رولد هوفمان، والمشارك في اختراع حبوب منع الحمل كارل جيراسي. في مسرحية «الأكسجين»، تقرر لجنة نوبل لعام منح جوائز «نوبل الرجعية» عن الاكتشافات العظيمة التي تحققت قبل استحداث الجائزة عام . وتقرر أن أولى جوائز الكيمياء لا بد أن تذهب إلى مكتشف الأكسجين، لأن «الثورة الكيميائية انبثقت من الأكسجين»، كما تقول إحدى الشخصيات. أطلق لافوازييه على العنصر اسمه، لكنه لم يكن بالتأكيد أول من حضَّره، ولا أول من أدركه مادةً متميزة ومهمة. تتجادل لجنة نوبل بضراوة حول المرشحين الثلاثة الأبرز، بينما يكشف لقاءٌ متخيَّل بينهم عام عن رؤى جديدة في صراعاتهم من أجل إثبات أسبقيتهم.",15.49,46.73,0.8362,100,لا يوجد (None),ترجمة صحيحة وسليمة (Accurate & Fluent),منعدم (None),ترجمة دقيقة وسلسة ومكافئة دلالياً للترجمة البشرية الاحترافية
1,العناصر: مقدمة قصيرة جدًّا,2,6,"Yet that is only part of the tale. Oxygen provides not only the central organizing principle for modern chemistry but a bridge between the new and the old, between the alchemical roots of Robert Boyle’s ‘chymistry’ and the syntheses of endless wonders in today’s chemical plants. In joining the two, it marks a crucial stage in the developing concept of an element.","إلا أن هذا جزء فحسب من الحكاية. لا يقدِّم الأكسجين المبدأ التنظيمي الرئيسي للكيمياء الحديثة فحسب، ولكن يبني أيضًا جسرًا بين الجديد والقديم؛ بين جذور «خيمياء» روبرت بويل الكيميائية والتركيبات العجيبة في الوقت الحالي التي تُخلَّق دون انقطاع في مصانع الكيماويات. وبالجمع بين الاثنتين، فإنه يمثِّل مرحلة حاسمة في تطوير مفهوم العنصر.","غير أن ذلك ليس إلا جزءًا من الحكاية. لا يقدِّم الأكسجين المبدأ التنظيمي المحوري للكيمياء الحديثة فحسب، بل يمثِّل أيضًا جسرًا بين الجديد والقديم، بين الجذور الخيميائية لـ«كيمياء» روبرت بويل وعمليات تخليق العجائب التي لا تنتهي في مصانع الكيمياء اليوم. وبوصله بين الاثنين، يمثِّل مرحلة حاسمة في تطور مفهوم العنصر.",17.51,54.89,0.8832,100,لا يوجد (None),ترجمة صحيحة وسليمة (Accurate & Fluent),منعدم (None),ترجمة دقيقة وسلسة ومكافئة دلالياً للترجمة البشرية الاحترافية
1,العناصر: مقدمة قصيرة جدًّا,2,7,"2. Antoine Laurent Lavoisier (1743–94), the ‘Newton of chemistry’, and his wife and sometime assistant Marie Anne Lavoisier","تسبَّب لافوازييه في صدمتين لعناصر أرسطو؛ فتجاربه على الماء أدَّت به إلى أن يَستنتج في عام م أن الماء «ليس مادة بسيطة على الإطلاق، وليس مناسبًا أن نُطلق عليه لقب عنصر، كما كان يُعتقد دائمًا.» وفيما يخص العنصر السائل الآخر من العصور القديمة، أَعلن أن «الهواء في الغلاف الجوي يتكوَّن من اثنين من السوائل المرنة المختلفة وذات الصفات المتضادة»، أَطلق عليهما اسمَي «الهواء السام» و«الهواء الصالح للتنفس». بعبارة أخرى: ليس الماء ولا الهواء عنصرًا.","وجَّه لافوازييه صدمتين إلى العناصر الأرسطية. قادته تجاربه على الماء إلى أن يستنتج عام أنه «ليس مادة بسيطة على الإطلاق، ولا يصح أن يُسمى عنصرًا كما كان يُظن دائمًا». وفي شأن ذلك العنصر السائل الآخر من عناصر القدماء، أعلن أن «الهواء الجوي يتألف من مائعين مرنين مختلفي الخواص ومتضادَّيها»، أطلق عليهما «الهواء الخانق» و«الهواء الشديد القابلية للتنفس». وبعبارة أخرى، لا الماء ولا الهواء عنصر.",12.31,46.18,0.8076,98.44,الأسلوب (Style),حرفية زائدة وركاكة أسلوبية (Literalness / Awkward Phrasing),طفيف (Minor),الترجمة حرفية تتبع بناء الجملة الإنجليزية وتقل فيها بلاغة التركيب العربي مقارنة بالأصل البشري
1,العناصر: مقدمة قصيرة جدًّا,2,8,"Lavoisier delivered two shocks to the Aristotelian elements. His experiments on water led him to conclude in 1783 that it ‘is not a simple substance at all, not properly called an element, as had always been thought’. And, concerning that other fluid element of antiquity, he announced that ‘atmospheric air is composed of two elastic fluids of different and opposite qualities’, which he called ‘mephitic air’ and ‘highly respirable air’. Neither water nor air, in other words, is an element. He named the constituents of water hydrogen (‘water-former’) and oxygen, which combine in a two-to-one ratio reflected in the familiar chemical formula H2O. Air is a more complex substance. The fraction that is ‘highly respirable air’, Lavoisier realized, is an element in itself: oxygen. The name comes from the Greek for ‘acidformer’, as Lavoisier wrongly believed that oxygen was a component of all acids. For the ‘fluid’ that Lavoisier called mephitic air he proposed the name azot or azotic gas, a Greek term indicating that it is inimical to life. Lavoisier found that, when he isolated this component, it had the ‘quality of killing such animals as are forced to breathe it’. Reasonably enough, he concluded that it was noxious. In fact it is not poisonous but simply useless: separated from oxygen, it cannot sustain life. Lavoisier noted that this gas ‘is proved to form a part of the nitric acid, which gives a good reason to have called it nitrigen’. He preferred his azot, however, and so did the other French chemists – which is why nitrogen is known to this day as azote in France.","ومع ذلك، لم يكن في نية لافوازييه هدم ما جرى عليه العرف بالكامل، ويقول مثبِتًا ذلك: «نحن لم نتظاهر بإدخال أي تغييرات على مصطلحات كتلك المصطلحات التي أضفى عليها العُرفُ القديم قدسيةً؛ ومن ثَمَّ … احتفظنا بكلمة «هواء» للتعبير عن هذه المجموعة من السوائل المرنة التي تُشكِّل الغلاف الجوي.»","أطلق على مكوِّنَي الماء اسمَي الهيدروجين («مولِّد الماء») والأكسجين، اللذين يتحدان بنسبة اثنين إلى واحد تعكسها الصيغة الكيميائية المألوفة H₂O. أما الهواء فمادة أكثر تعقيدًا. أدرك لافوازييه أن الجزء الذي يمثل «الهواء شديد الصلاحية للتنفس» عنصرٌ قائم بذاته: الأكسجين. والاسم مشتق من اليونانية بمعنى «مولِّد الأحماض»، إذ ظنّ لافوازييه خطأً أن الأكسجين مكوّنٌ داخلٌ في جميع الأحماض. أما «السائل» الذي أطلق عليه لافوازييه اسم الهواء الخانق، فقد اقترح له اسم «آزوت» أو «الغاز الآزوتي»، وهو مصطلح يوناني يدل على أنه معادٍ للحياة. ووجد لافوازييه، حين عزل هذا المكوّن، أنه يتمتع بـ«خاصية قتل الحيوانات التي تُرغَم على تنفسه». وكان من المنطقي تماماً أن يخلص إلى أنه ضارّ. لكنه في الحقيقة ليس ساماً، بل عديم النفع فحسب: فهو، منفصلاً عن الأكسجين، عاجزٌ عن حفظ الحياة. ولاحظ لافوازييه أن هذا الغاز «ثبت أنه يشكّل جزءاً من حمض النيتريك، وهو ما يمنح سبباً وجيهاً لتسميته النيتروجين». غير أنه فضّل مصطلحه «آزوت»، وكذلك فعل سائر الكيميائيين الفرنسيين؛ ولهذا لا يزال النيتروجين يُعرف حتى يومنا هذا باسم «آزوت» في فرنسا. على أن لافوازييه لم يكن عازماً على هدم التقاليد هدماً تاماً، إذ أكّد قائلاً: «لم نزعم أننا أدخلنا أي تعديل على المصطلحات التي قدّستها العادة القديمة؛ ومن ثَمّ . . نحتفظ بكلمة «الهواء» للتعبير عن تلك المجموعة من السوائل المرنة التي يتألف منها غلافنا الجوي».",2.47,26.82,0.7539,97.61,الدقة (Accuracy),ترجمة غير دقيقة / معنى مغاير (Mistranslation),جسيم (Major),انحراف دلالي واضح عن قصد النص الأصلي والمصطلحات المعتمدة في الترجمة البشرية
1,العناصر: مقدمة قصيرة جدًّا,2,9,"Lavoisier was not intent on wholly demolishing tradition, however, vouching that: ‘We have not pretended to make any alteration upon such terms as are sanctified by ancient custom; and therefore . . . retain the word air, to express that collection of elastic fluids which composes our atmosphere.’","كان تقييمه لهذه «المجموعة من السوائل» منقوصًا إلى حدٍّ ما، وهذا أمر متوقَّع؛ فالأكسجين والنيتروجين يمثِّلان بالمائة من الهواء؛ ولكن المتبقي مزيج رائع. في الغالب هو الأرجون (انظر الفصل السابع)، ذلك العنصر الخامل للغاية. وتوجد نسبة متغيرة صغيرة من بخار الماء (يكون كافيًا ليتجمَّع في سحب ويسقط في هيئة أمطار عندما يبرد الهواء)، ويمثِّل ثاني أكسيد الكربون نحو ٫ بالمائة من الهواء. وتشمل الغازاتُ النزرةُ الأخرى الميثان وأكسيد النيتروز وأول أكسيد الكربون وثاني أكسيد الكبريت والأوزون. ولم يكن قد اكتُشف العديد من مكوِّنات الهواء الثانوية حتى العقود القليلة الماضية. ولكن على الرغم من تركيزاتها المنخفضة، فإنها تلعب دورًا حاسمًا في كيمياء الغلاف الجوي والبيئة. وبعضها من غازات الدفيئة التي تُسبِّب ارتفاعَ درجة حرارة الكوكب، والبعض الآخر ملوِّثات سامة. ولبعضها مصادر طبيعية، والبعض الآخر من صنع البشر، والعديد منها يأتي من المصدرين. ولفهم خصائص وسلوك الغلاف الجوي، ينبغي عادةً على الكيميائيين في الوقت الراهن أن يضعوا في الاعتبار التفاعلات التي تشمل عشرات أو حتى مئات الغازات النزرة ومشتقاتها.","وكان تقييمه لهذه «المجموعة من السوائل» ناقصاً بعض الشيء، وإن كان ذلك مفهوماً. يشكّل الأكسجين والنيتروجين معاً في المائة من الهواء؛ لكن ما تبقّى مزيجٌ مذهل. ومعظمه أرجون (انظر صفحة )، وهو عنصر شديد الخمول. وثمة نسبة صغيرة متغيرة من بخار الماء (تكفي للتكاثف في صورة سُحُب وقطرات مطر حين يبرد الهواء)، ونحو ٫ في المائة من الهواء ثاني أكسيد الكربون. ومن الغازات النزرة الأخرى الميثان، وأكسيد النيتروز، وأول أكسيد الكربون، وثاني أكسيد الكبريت، والأوزون. وحتى العقود القليلة الماضية، ظلّ كثير من مكونات الهواء الثانوية بمنأى عن الرصد. لكنها، رغم تركيزاتها المنخفضة، تؤدي دوراً بالغ الأهمية في كيمياء الغلاف الجوي والبيئة. فبعضها غازات دفيئة تعمل على تدفئة الكوكب. وبعضها ملوثات سامة. ولبعضها مصادر طبيعية، وبعضها من صنع الإنسان وحده، وكثير منها ينتمي إلى الفئتين معاً. ولكي يفهم الكيميائيون خصائص الغلاف الجوي وسلوكه، صار لزاماً عليهم في الغالب أن يأخذوا في الحسبان تفاعلات تشمل عشرات، بل مئات، من الغازات النزرة ومشتقاتها.",15.91,50.48,0.8804,100,لا يوجد (None),ترجمة صحيحة وسليمة (Accurate & Fluent),منعدم (None),ترجمة دقيقة وسلسة ومكافئة دلالياً للترجمة البشرية الاحترافية
1,العناصر: مقدمة قصيرة جدًّا,2,10,"His assessment of this ‘collection of fluids’ was somewhat incomplete, although understandably so. Oxygen and nitrogen between them account for 99 per cent of air; but the remainder is a fantastic blend. Mostly it is argon (see page 154), an extremely unreactive element. There is a small, variable proportion of water vapour (enough to condense into clouds and raindrops when air is cooled), and about 0.08 per cent of air is carbon dioxide. Other trace gases include methane, nitrous oxide, carbon monoxide, sulphur dioxide, and ozone. Until the past few decades, many of the minor constituents of air went undetected. But, despite their low concentrations, they play a crucial role in atmospheric and environmental chemistry. Some are greenhouse gases, warming the planet. Others are toxic pollutants. Some have natural sources; others are solely human made; many are both. To understand the properties and behaviour of the atmosphere, chemists commonly now have to take into account reactions involving dozens or even hundreds of trace gases and their offspring.","الأكسجين والنيتروجين من العناصر، ولكن معظم هذه الغازات الأخرى «مركَّبات» شكَّلها تفاعلُ واتحادُ اثنين أو أكثر من العناصر المختلفة معًا. في غاز الأكسجين، كل ذرة من الأكسجين تتَّحد مع ذرة أخرى من الأكسجين، أما في أول أكسيد الكربون، فترتبط ذرة أكسجين بذرة كربون.","الأكسجين والنيتروجين عنصران، أما معظم هذه الغازات الأخرى فمركبات تتكوّن من تفاعل عنصرين مختلفين أو أكثر واتحادهما معاً. ففي غاز الأكسجين، ترتبط كل ذرة أكسجين بذرة أكسجين أخرى. وفي أول أكسيد الكربون، ترتبط ذرة أكسجين بذرة كربون.",19.85,53.85,0.8645,100,لا يوجد (None),ترجمة صحيحة وسليمة (Accurate & Fluent),منعدم (None),ترجمة دقيقة وسلسة ومكافئة دلالياً للترجمة البشرية الاحترافية
